['red_vertically', 'blue_horizontally'];C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_2_checkpoint-261820_ft_gen_2_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_1_checkpoint-392730_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_2_checkpoint-392730_ft_gen_2_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_3_checkpoint-392730_ft_gen_3_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_4_checkpoint-392730_ft_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_1_checkpoint-523640_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_2_checkpoint-523640_ft_gen_2_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_3_checkpoint-589095_ft_gen_3_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_4_checkpoint-589095_ft_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_1_checkpoint-654550_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_3_checkpoint-654550_ft_gen_3_b;C:\Users\Timur\Downloads\hex_agony\mini_blue_test\gen_4_checkpoint-720005_ft_b
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_2_checkpoint-319150_ft_gen_2_r;[62, 59];[71, 50];[64, 57];[50, 71];[49, 72];[75, 46];[51, 70];[59, 62];[52, 69];[69, 52];[52, 69];[49, 72]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_1_checkpoint-446810_r;[47, 74];[60, 61];[51, 70];[43, 78];[40, 81];[53, 68];[44, 77];[40, 81];[40, 81];[57, 64];[43, 78];[42, 79]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_2_checkpoint-446810_ft_gen_2_r;[61, 60];[77, 44];[50, 71];[50, 71];[43, 78];[78, 43];[49, 72];[51, 70];[42, 79];[69, 52];[52, 69];[48, 73]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_2_checkpoint-510640_ft_gen_2_r;[62, 59];[79, 42];[60, 61];[60, 61];[49, 72];[72, 49];[56, 65];[50, 71];[49, 72];[65, 56];[47, 74];[55, 66]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_3_checkpoint-510640_ft_gen_3_r;[56, 65];[80, 41];[52, 69];[53, 68];[42, 79];[75, 46];[43, 78];[48, 73];[45, 76];[74, 47];[49, 72];[52, 69]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_4_checkpoint-574470_ft_r;[64, 57];[73, 48];[57, 64];[48, 73];[53, 68];[81, 40];[51, 70];[50, 71];[51, 70];[69, 52];[62, 59];[54, 67]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_1_checkpoint-638300_r;[50, 71];[56, 65];[45, 76];[47, 74];[43, 78];[46, 75];[49, 72];[42, 79];[47, 74];[56, 65];[45, 76];[38, 83]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_3_checkpoint-638300_ft_gen_3_r;[56, 65];[76, 45];[51, 70];[57, 64];[59, 62];[72, 49];[50, 71];[54, 67];[55, 66];[70, 51];[48, 73];[57, 64]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_4_checkpoint-702130_ft_r;[70, 51];[70, 51];[62, 59];[54, 67];[63, 58];[76, 45];[58, 63];[50, 71];[53, 68];[76, 45];[55, 66];[63, 58]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_1_checkpoint-765960_r;[53, 68];[53, 68];[54, 67];[51, 70];[49, 72];[52, 69];[55, 66];[41, 80];[43, 78];[57, 64];[51, 70];[45, 76]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_3_checkpoint-765960_ft_gen_3_r;[59, 62];[70, 51];[55, 66];[48, 73];[56, 65];[71, 50];[61, 60];[52, 69];[57, 64];[73, 48];[47, 74];[56, 65]
C:\Users\Timur\Downloads\hex_agony\mini_red_test\gen_4_checkpoint-765960_ft_r;[65, 56];[70, 51];[62, 59];[59, 62];[57, 64];[74, 47];[52, 69];[54, 67];[62, 59];[78, 43];[58, 63];[62, 59]
